id;nome;login;senha;data_cadastro;ultimo_acesso;perfil
1;Buckinghamshire transmitting;multimedia;Queijo benchmark Account;2022-05-04T07:34:41;2022-05-05T01:24:28;ALUNO
2;esmeralda connecting system;FTP Somoni convergence;Amapá Licenciado Bedfordshire;2022-05-04T05:59:51;2022-05-04T05:46:58;ALUNO
3;Triple-buffered;program Forward;Automotivo Marginal;2022-05-04T03:09:31;2022-05-04T06:23:15;ORIENTADOR
4;Rial;morph;withdrawal empower microchip;2022-05-04T05:02:14;2022-05-04T09:11:19;ORIENTADOR
5;interactive;navigating;circuit Gostoso;2022-05-04T04:03:15;2022-05-04T22:41:34;ALUNO
6;motivating virtual Lustroso;array Beleza;Pound transmitter bandwidth;2022-05-04T04:15:05;2022-05-04T16:34:34;ORIENTADOR
7;demand-driven methodology;Executive púrpura;bypassing;2022-05-04T06:55:34;2022-05-05T02:38:06;ORIENTADOR
8;concept hack Persevering;Checking Granito Horizontal;payment online benchmark;2022-05-04T16:42:14;2022-05-04T16:55:58;COORDENADOR
9;input Jogos;platforms platforms Fantástico;XML Rústico;2022-05-04T10:25:56;2022-05-04T16:23:20;ALUNO
10;redundant Engineer Singapura;turquesa input São;Fresco;2022-05-04T18:50:24;2022-05-04T07:12:07;COORDENADOR
